"","di_id","bundle","year","value"
"305","IE","technical-ooperation","2016",11326841
"306","IS","technical-ooperation","2016",1367423
"307","IT","technical-ooperation","2016",47459641
"308","JP","technical-ooperation","2016",1848515730
"309","KR","technical-ooperation","2016",402454181
"310","KW","technical-ooperation","2016",50329700
"311","LT","technical-ooperation","2016",2075687
"312","LU","technical-ooperation","2016",99923915
"313","LV","technical-ooperation","2016",180513
"314","NL","technical-ooperation","2016",422297175
"315","NO","technical-ooperation","2016",231745484
"316","NZ","technical-ooperation","2016",55768097
"317","PL","technical-ooperation","2016",16118935
"318","PT","technical-ooperation","2016",44812173
"319","RO","technical-ooperation","2016",1724176
"320","SE","technical-ooperation","2016",377767162
"321","SI","technical-ooperation","2016",3576766
"322","SK","technical-ooperation","2016",4657656
"323","TR","technical-ooperation","2016",159407929
"324","US","technical-ooperation","2016",2588342863
"325","afdb","technical-ooperation","2016",89184
"326","afdf","technical-ooperation","2016",659932
"327","asdb-special-funds","technical-ooperation","2016",152307657
"328","ceb","technical-ooperation","2016",888946
"329","cif","technical-ooperation","2016",5165716
"330","gggi","technical-ooperation","2016",355515
"331","global-fund","technical-ooperation","2016",13719211
"332","ida","technical-ooperation","2016",45328885
"333","idb-special-fund","technical-ooperation","2016",160253308
"334","international-labour-organisation","technical-ooperation","2016",20522661
"335","nordic-dev-fund","technical-ooperation","2016",528851
"336","ofid","technical-ooperation","2016",4744899
"337","undp","technical-ooperation","2016",6161650
"338","unicef","technical-ooperation","2016",8137550
"339","unpbf","technical-ooperation","2016",662318
"340","wfp","technical-ooperation","2016",127324
"341","dac-countries-total","cash-grant","2016",26350464707
"342","dac-countries-total","cash-loan-equity","2016",16406688536
"343","dac-countries-total","commodities-food","2016",5136759194
"344","dac-countries-total","gpgs-nngos","2016",1269917823
"345","dac-countries-total","mixed-project-aid","2016",22114261145
"346","dac-countries-total","non-transfer","2016",28578079092
"347","dac-countries-total","technical-ooperation","2016",15318331157
