"di_id","wb_wdi_country_code","year","value"
"AG","ATG",2015,1333606037.03704
"AG","ATG",2014,1244017370.37037
"AG","ATG",1965,
"AG","ATG",1967,
"AG","ATG",1966,
"AU","AUS",1996,386119119878.604
"AU","AUS",1997,419944435748.943
"AU","AUS",1973,63757847533.6323
"AU","AUS",1972,51727803738.3178
"AU","AUS",1998,386307400122.092
"AU","AUS",1969,36080188150.9688
"AU","AUS",1968,32349647216.9336
"AU","AUS",1971,44637697390.5253
"AU","AUS",1970,40788442154.7766
"AU","AUS",1978,116886983983.758
"AU","AUS",1977,109404679972.471
"AU","AUS",1967,30170231828.8722
"AU","AUS",1966,27199014447.3065
"AU","AUS",2000,403044024367.267
"AU","AUS",1965,26001791913.9881
"AU","AUS",1964,23749580020.159
"AU","AUS",1963,21435771082.988
"AU","AUS",1962,19941762795.3858
"AU","AUS",1982,190045238883.372
"AU","AUS",1981,176016486706.142
"AU","AUS",1980,148170473537.604
"AU","AUS",1979,133036464841.531
"AU","AUS",1991,312075975198.179
"AU","AUS",2017,1287895768911.68
"AU","AUS",1976,104903567376.781
"AU","AUS",1975,97364468114.1609
"AU","AUS",1974,88504053058.2167
"AU","AUS",1961,19622578116.2504
"AU","AUS",1960,18601187143.0171
"AU","AUS",1985,177695021860.858
"AU","AUS",1984,190887520376.743
"AU","AUS",1983,175649976602.714
"AU","AUS",1999,376243890211.806
"AU","AUS",1994,314915254237.288
"AU","AUS",1993,303041736930.86
"AU","AUS",1992,312156425440.283
"AU","AUS",1995,354537422037.422
"AU","AUS",1990,299796844940.362
"AU","AUS",1989,291007246966.859
"AU","AUS",1988,231230355064.028
"AU","AUS",1987,185600847008.999
"AU","AUS",1986,178787073307.219
"AU","AUS",2012,1496386883893.59
"AU","AUS",2011,1338218475796.12
"AU","AUS",2010,1099735752664.49
"AU","AUS",2009,893908849948.461
"AU","AUS",2008,1009493285586.39
"AU","AUS",2007,813911439114.391
"AU","AUS",2006,716462264150.943
"AU","AUS",2005,666880168395.73
"AU","AUS",2004,594421681604.78
"AU","AUS",2016,1180872033774.93
"AU","AUS",2015,1321203095099.43
"AU","AUS",2014,1426554668135.5
"AU","AUS",2013,1534491638452.86
"AU","AUS",2003,453144437973.209
"AU","AUS",2002,383758894935.119
"AU","AUS",2001,367594182676.827
"AT","AUT",1968,12325481697.6437
"AT","AUT",1967,11489682471.2034
"AT","AUT",1966,10814480797.1072
"AT","AUT",1999,213744619646.282
"AT","AUT",1998,216933192530.013
"AT","AUT",1997,211805502311.422
"AT","AUT",2010,395170908981.876
"AT","AUT",2009,399998888580.161
"AT","AUT",2008,433883404130.658
"AT","AUT",1965,9925462658.2154
"AT","AUT",1978,62141792286.5536
"AT","AUT",1977,51650574306.8854
"AT","AUT",2017,417416042907.423
"AT","AUT",2016,390600751101.997
"AT","AUT",2015,379269784417.728
"AT","AUT",2000,195085959093.422
"AT","AUT",2013,431228759906.245
"AT","AUT",2012,409838651404.764
"AT","AUT",2011,432573889519.503
"AT","AUT",1973,29621908215.616
"AT","AUT",1972,22152286802.7859
"AT","AUT",1971,17953394481.7711
"AT","AUT",2007,388299616753.353
"AT","AUT",2006,336783339606.072
"AT","AUT",2005,315305310284.79
"AT","AUT",2004,300489570399.801
"AT","AUT",2003,261037810383.747
"AT","AUT",2002,212139375117.636
"AT","AUT",2014,442467958056.805
"AT","AUT",1976,43082843598.9875
"AT","AUT",1975,40232688314.7665
"AT","AUT",1974,35366590989.3993
"AT","AUT",1986,98915999819.7386
"AT","AUT",1985,69509477919.6595
"AT","AUT",1984,68089737088.2333
"AT","AUT",1970,15443633977.2427
"AT","AUT",1969,13471334741.5813
"AT","AUT",1964,9107032740.77774
"AT","AUT",1963,8316686909.51263
"AT","AUT",1962,7702864742.40645
"AT","AUT",1961,7261554769.09295
"AT","AUT",1960,6547435003.94828
"AT","AUT",1981,70953553481.9423
"AT","AUT",1980,82147202191.0232
"AT","AUT",1979,74071758106.0216
"AT","AUT",1982,71298486569.3313
"AT","AUT",1994,203849994458.499
"AT","AUT",1993,190907108363.894
"AT","AUT",1996,237117494151.287
"AT","AUT",1995,240111095946.499
"AT","AUT",1990,167219693210.698
"AT","AUT",1989,133607136661.466
"AT","AUT",1992,195560525294.265
"AT","AUT",1991,173663627224.514
"AT","AUT",1983,72301811935.0391
"AT","AUT",2001,194639373601.79
"AT","AUT",1987,124038666739.225
"AT","AUT",1988,133707123927.338
