"","di_id","region_name","aid_type","year","value"
"247","PL","oceania","bilateral",2016,20000
"248","RO","unspecified","bilateral",2016,1550000
"249","RO","north-of-sahara","bilateral",2016,587191.011235955
"250","RO","south-of-sahara","bilateral",2016,1422808.98876404
"251","RO","north-central-america","bilateral",2016,1e+05
"252","RO","south-america","bilateral",2016,50000
"253","RO","far-east-asia","bilateral",2016,230000
"254","RO","south-central-asia","bilateral",2016,1230000
"255","RO","europe","bilateral",2016,102250000
"256","RO","middle-east","bilateral",2016,2040000
"257","RO","oceania","bilateral",2016,0
"258","EE","unspecified","bilateral",2016,6360000
"259","EE","north-of-sahara","bilateral",2016,75000
"260","EE","south-of-sahara","bilateral",2016,525000
"261","EE","north-central-america","bilateral",2016,150000
"262","EE","south-america","bilateral",2016,50000
"263","EE","south-central-asia","bilateral",2016,2490000
"264","EE","europe","bilateral",2016,7340000
"265","EE","middle-east","bilateral",2016,1580000
"266","EE","oceania","bilateral",2016,20000
"267","LV","unspecified","bilateral",2016,1230000
"268","LV","north-central-america","bilateral",2016,10000
"269","LV","south-america","bilateral",2016,10000
"270","LV","far-east-asia","bilateral",2016,30000
"271","LV","south-central-asia","bilateral",2016,370000
"272","LV","europe","bilateral",2016,1750000
"273","LT","unspecified","bilateral",2016,4690000
"274","LT","south-of-sahara","bilateral",2016,20000
"275","LT","north-central-america","bilateral",2016,20000
"276","LT","south-america","bilateral",2016,30000
"277","LT","far-east-asia","bilateral",2016,150000
"278","LT","south-central-asia","bilateral",2016,430000
"279","LT","europe","bilateral",2016,8360000
"280","LT","middle-east","bilateral",2016,160000
"281","LT","oceania","bilateral",2016,10000
"282","RU","unspecified","bilateral",2016,14030000
"283","RU","south-of-sahara","bilateral",2016,37490000
"284","RU","north-central-america","bilateral",2016,364040000
"285","RU","south-america","bilateral",2016,480000
"286","RU","far-east-asia","bilateral",2016,59200000
"287","RU","south-central-asia","bilateral",2016,253890000
"288","RU","europe","bilateral",2016,21830000
"289","RU","middle-east","bilateral",2016,12850000
"290","RU","oceania","bilateral",2016,3310000
"291","nordic-dev-fund","unspecified","bilateral",2016,920000
"292","nordic-dev-fund","south-of-sahara","bilateral",2016,15060000
"293","nordic-dev-fund","north-central-america","bilateral",2016,11650000
"294","nordic-dev-fund","far-east-asia","bilateral",2016,2740000
