"di_id","donor_code","region_name","aid_type","year","value"
"PL",76,"far-east-asia","bilateral",2016,1800000
"PL",76,"south-central-asia","bilateral",2016,4180000
"PL",76,"europe","bilateral",2016,64640000
"PL",76,"middle-east","bilateral",2016,12410000
"PL",76,"oceania","bilateral",2016,20000
"RO",77,"unspecified","bilateral",2016,1550000
"RO",77,"north-of-sahara","bilateral",2016,587191.011235955
"RO",77,"south-of-sahara","bilateral",2016,1422808.98876404
"RO",77,"north-central-america","bilateral",2016,100000
"RO",77,"south-america","bilateral",2016,50000
"RO",77,"far-east-asia","bilateral",2016,230000
"RO",77,"south-central-asia","bilateral",2016,1230000
"RO",77,"europe","bilateral",2016,102250000
"RO",77,"middle-east","bilateral",2016,2040000
"RO",77,"oceania","bilateral",2016,0
"EE",82,"unspecified","bilateral",2016,6360000
"EE",82,"north-of-sahara","bilateral",2016,75000
"EE",82,"south-of-sahara","bilateral",2016,525000
"EE",82,"north-central-america","bilateral",2016,150000
"EE",82,"south-america","bilateral",2016,50000
"EE",82,"south-central-asia","bilateral",2016,2490000
"EE",82,"europe","bilateral",2016,7340000
"EE",82,"middle-east","bilateral",2016,1580000
"EE",82,"oceania","bilateral",2016,20000
"LV",83,"unspecified","bilateral",2016,1230000
"LV",83,"north-central-america","bilateral",2016,10000
"LV",83,"south-america","bilateral",2016,10000
"LV",83,"far-east-asia","bilateral",2016,30000
"LV",83,"south-central-asia","bilateral",2016,370000
"LV",83,"europe","bilateral",2016,1750000
"LT",84,"unspecified","bilateral",2016,4690000
"LT",84,"south-of-sahara","bilateral",2016,20000
"LT",84,"north-central-america","bilateral",2016,20000
"LT",84,"south-america","bilateral",2016,30000
"LT",84,"far-east-asia","bilateral",2016,150000
"LT",84,"south-central-asia","bilateral",2016,430000
"LT",84,"europe","bilateral",2016,8360000
"LT",84,"middle-east","bilateral",2016,160000
"LT",84,"oceania","bilateral",2016,10000
"RU",87,"unspecified","bilateral",2016,14030000
"RU",87,"south-of-sahara","bilateral",2016,37490000
"RU",87,"north-central-america","bilateral",2016,364040000
"RU",87,"south-america","bilateral",2016,480000
"RU",87,"far-east-asia","bilateral",2016,59200000
"RU",87,"south-central-asia","bilateral",2016,253890000
"RU",87,"europe","bilateral",2016,21830000
"RU",87,"middle-east","bilateral",2016,12850000
"RU",87,"oceania","bilateral",2016,3310000
"nordic-dev-fund",104,"unspecified","bilateral",2016,920000
"nordic-dev-fund",104,"south-of-sahara","bilateral",2016,15060000
"nordic-dev-fund",104,"north-central-america","bilateral",2016,11650000
"nordic-dev-fund",104,"far-east-asia","bilateral",2016,2740000
"nordic-dev-fund",104,"south-central-asia","bilateral",2016,8870000
"CA",301,"unspecified","bilateral",2016,485760000
"CA",301,"north-of-sahara","bilateral",2016,25886061.3748041
"CA",301,"south-of-sahara","bilateral",2016,955743938.625196
"CA",301,"north-central-america","bilateral",2016,230102588.861433
"CA",301,"south-america","bilateral",2016,151347411.138567
"CA",301,"far-east-asia","bilateral",2016,105050266.059042
"CA",301,"south-central-asia","bilateral",2016,298109367.690916
"CA",301,"europe","bilateral",2016,85290000
"CA",301,"middle-east","bilateral",2016,363910366.250042
"CA",301,"oceania","bilateral",2016,2730000
"US",302,"unspecified","bilateral",2016,9295100000
"US",302,"north-of-sahara","bilateral",2016,250400000
"US",302,"south-of-sahara","bilateral",2016,9942990000
"US",302,"north-central-america","bilateral",2016,1402183514.41181
"US",302,"south-america","bilateral",2016,536616485.588187
"US",302,"far-east-asia","bilateral",2016,1039965046.51656
"US",302,"south-central-asia","bilateral",2016,3112330259.578
"US",302,"europe","bilateral",2016,540470000
"US",302,"middle-east","bilateral",2016,3052564693.90544
"US",302,"oceania","bilateral",2016,66140000
"IL",546,"unspecified","bilateral",2016,106950000
"IL",546,"north-of-sahara","bilateral",2016,130000
"IL",546,"south-of-sahara","bilateral",2016,5090000
"IL",546,"north-central-america","bilateral",2016,1980000
"IL",546,"south-america","bilateral",2016,6550000
"IL",546,"far-east-asia","bilateral",2016,2570000
"IL",546,"south-central-asia","bilateral",2016,7140000
"IL",546,"europe","bilateral",2016,12360000
"IL",546,"middle-east","bilateral",2016,112510000
"IL",546,"oceania","bilateral",2016,420000
"KW",552,"unspecified","bilateral",2016,2550000
"KW",552,"north-of-sahara","bilateral",2016,382950000
"KW",552,"south-of-sahara","bilateral",2016,205330000
"KW",552,"north-central-america","bilateral",2016,25390000
"KW",552,"south-america","bilateral",2016,5240000
"KW",552,"far-east-asia","bilateral",2016,53400000
"KW",552,"south-central-asia","bilateral",2016,115950000
"KW",552,"europe","bilateral",2016,12160000
"KW",552,"middle-east","bilateral",2016,550530000
"KW",552,"oceania","bilateral",2016,620000
"AE",576,"unspecified","bilateral",2016,146350000
"AE",576,"north-of-sahara","bilateral",2016,2314593430.83995
"AE",576,"south-of-sahara","bilateral",2016,198266569.16005
"AE",576,"north-central-america","bilateral",2016,920000
"AE",576,"south-america","bilateral",2016,230000
"AE",576,"far-east-asia","bilateral",2016,4350000
"AE",576,"south-central-asia","bilateral",2016,135610000
"AE",576,"europe","bilateral",2016,221500000
"AE",576,"middle-east","bilateral",2016,1394980000
"AE",576,"oceania","bilateral",2016,3590000
"AZ",611,"unspecified","bilateral",2016,3720000
"AZ",611,"south-of-sahara","bilateral",2016,170000
"AZ",611,"south-central-asia","bilateral",2016,250000
"KZ",613,"unspecified","bilateral",2016,11710000
"KZ",613,"south-central-asia","bilateral",2016,1700000
"JP",701,"unspecified","bilateral",2016,1966440000
"JP",701,"north-of-sahara","bilateral",2016,502020867.69749
"JP",701,"south-of-sahara","bilateral",2016,1416819132.30251
"JP",701,"north-central-america","bilateral",2016,201196222.314677
"JP",701,"south-america","bilateral",2016,223643777.685323
"JP",701,"far-east-asia","bilateral",2016,3241172330.21767
"JP",701,"south-central-asia","bilateral",2016,4086148513.41747
