di_id,region_name,aid_type,year,value,,,
AE,south-america,multilateral,2016,2317650.363,,,
AT,south-america,multilateral,2016,18646966.89,,,
AU,south-america,multilateral,2016,33558187.05,,,
AZ,south-america,multilateral,2016,0,,,
BE,south-america,multilateral,2016,26157538.73,,,
BG,south-america,multilateral,2016,1334006.687,,,
CA,south-america,multilateral,2016,25425572.29,,,
CH,south-america,multilateral,2016,18805163.32,,,
CZ,south-america,multilateral,2016,5050513.856,,,
DE,south-america,multilateral,2016,146335661.7,,,
DK,south-america,multilateral,2016,20125985,,,
EE,south-america,multilateral,2016,627544.2541,,,
ES,south-america,multilateral,2016,44884540.01,,,
EU,south-america,multilateral,2016,2712344.56,,,
FI,south-america,multilateral,2016,11944805.1,,,
FR,south-america,multilateral,2016,118013251.2,,,
GB,south-america,multilateral,2016,137905855.1,,,
GR,south-america,multilateral,2016,5699582.946,,,
HR,south-america,multilateral,2016,975793.8276,,,
HU,south-america,multilateral,2016,3481181.326,,,
IE,south-america,multilateral,2016,8608000.375,,,
IL,south-america,multilateral,2016,5224404.673,,,
IS,south-america,multilateral,2016,181735.0392,,,
IT,south-america,multilateral,2016,78701716.09,,,
JP,south-america,multilateral,2016,73366135.86,,,
KR,south-america,multilateral,2016,26512595.19,,,
KW,south-america,multilateral,2016,0,,,
KZ,south-america,multilateral,2016,173032.5582,,,
LI,south-america,multilateral,2016,56012.02758,,,
LT,south-america,multilateral,2016,1100531.791,,,
LU,south-america,multilateral,2016,2607981.614,,,
LV,south-america,multilateral,2016,683542.6356,,,
MT,south-america,multilateral,2016,266123.7908,,,
NL,south-america,multilateral,2016,36164998.09,,,
NO,south-america,multilateral,2016,18417309.49,,,
NZ,south-america,multilateral,2016,1735205.04,,,
PL,south-america,multilateral,2016,15482743.63,,,
PT,south-america,multilateral,2016,6535964.903,,,
RO,south-america,multilateral,2016,4233244.654,,,
RU,south-america,multilateral,2016,17670774.63,,,
SE,south-america,multilateral,2016,30060646.49,,,
SI,south-america,multilateral,2016,1435574.566,,,
SK,south-america,multilateral,2016,2136081.388,,,
TH,south-america,multilateral,2016,6693446.918,,,
TR,south-america,multilateral,2016,13893350.8,,,
TW,south-america,multilateral,2016,370405.2822,,,
US,south-america,multilateral,2016,100138431.5,,,
all-donors-total,south-america,multilateral,2016,1077417148,,,
dac-countries-total,south-america,multilateral,2016,1018119924,,,
dac-eu-members-and-ec-total,south-america,multilateral,2016,0,,,
dac-eu-members-total,south-america,multilateral,2016,0,,,
g7-countries-total,south-america,multilateral,2016,0,,,
multilateral-total,south-america,multilateral,2016,0,,,
non-dac-countries-total,south-america,multilateral,2016,56584879.31,,,
AE,south-central-asia,multilateral,2016,11823953.26,,,
AT,south-central-asia,multilateral,2016,121057715.4,,,
AU,south-central-asia,multilateral,2016,231694652,,,
AZ,south-central-asia,multilateral,2016,0,,,
BE,south-central-asia,multilateral,2016,104966569.3,,,
BG,south-central-asia,multilateral,2016,4744352.411,,,
CA,south-central-asia,multilateral,2016,277259826.2,,,
CH,south-central-asia,multilateral,2016,190616660.6,,,
CZ,south-central-asia,multilateral,2016,19528390.25,,,
DE,south-central-asia,multilateral,2016,792040228.9,,,
DK,south-central-asia,multilateral,2016,123657508.7,,,
EE,south-central-asia,multilateral,2016,2697360.029,,,
ES,south-central-asia,multilateral,2016,262360285.1,,,
EU,south-central-asia,multilateral,2016,40265611.49,,,
FI,south-central-asia,multilateral,2016,63606921.86,,,
FR,south-central-asia,multilateral,2016,644811237.3,,,
GB,south-central-asia,multilateral,2016,1222863648,,,
GR,south-central-asia,multilateral,2016,20358838.89,,,
HR,south-central-asia,multilateral,2016,3545108.753,,,
HU,south-central-asia,multilateral,2016,13944313.04,,,
IE,south-central-asia,multilateral,2016,47881495.91,,,
IL,south-central-asia,multilateral,2016,23037519.91,,,
IS,south-central-asia,multilateral,2016,2548102.583,,,
